Sample ID	Combined	NMU ID	Location	Sex	Age	Parasites	Color	Sample Weight
R3506	R	3506	AK	M	J	0	Red	x (0.041 g)
W3506	W	3506	AK	M	J	0	White	x (0.032 g)
B3506	B	3506	AK	M	J	0	Blue	x (0.045 g)
R3508	R	3508	AK	M	J	0	Red	x (0.058 g)
W3508	W	3508	AK	M	J	0	White	x (0.046 g)*
B3508	B	3508	AK	M	J	0	Blue	x (0.041 g)
R3486	R	3486	AK	M	J	0	Red	x (0.030 g)
W3486	W	3486	AK	M	J	0	White	x (0.048 g)
B3486	B	3486	AK	M	J	0	Blue	x (0.031 g)
R3492	R	3492	AK	M	J	0	Red	x (0.055 g)
W3492	W	3492	AK	M	J	0	White	x (0.044 g)
B3492	B	3492	AK	M	J	0	Blue	x (0.040 g)
R3489	R	3489	AK	M	A	0	Red	x (0.041 g)
W3489	W	3489	AK	M	A	0	White	x (0.041 g)
B3489	B	3489	AK	M	A	0	Blue	x (0.038 g)
R3469	R	3469	AK	M	A	0	Red	x (0.037 g)
W3469	W	3469	AK	M	A	0	White	x (0.059 g)
B3469	B	3469	AK	M	A	0	Blue	
R3471	R	3471	AK	M	A	0	Red	x (0.032 g)
W3471	W	3471	AK	M	A	0	White	x (0.041 g)
B3471	B	3471	AK	M	A	0	Blue	x (0.030 g)
R3481	R	3481	AK	M	A	0	Red	x (0.037 g)
W3481	W	3481	AK	M	A	0	White	x (0.030 g)
B3481	B	3481	AK	M	A	0	Blue	x (0.030 g)
R3484	R	3484	AK	F	J	0	Red	x (0.052 g)
W3484	W	3484	AK	F	J	0	White	x (0.047 g)
B3484	B	3484	AK	F	J	0	Blue	x (0.040 g)
R3472	R	3472	AK	F	J	0	Red	x (0.039 g)
W3472	W	3472	AK	F	J	0	White	x (0.025 g)
B3472	B	3472	AK	F	J	0	Blue	x (0.053 g)*
R3445	R	3445	AK	F	J	0	Red	x (0.043 g)
W3445	W	3445	AK	F	J	0	White	x (0.036 g)
B3445	B	3445	AK	F	J	0	Blue	x (0.038 g)
R3470	R	3470	AK	F	J	0	Red	x (0.044 g)
W3470	W	3470	AK	F	J	0	White	x (0.024 g)
B3470	B	3470	AK	F	J	0	Blue	x (0.040 g)
R3494	R	3494	AK	F	A	0	Red	x (0.022 g)
W3494	W	3494	AK	F	A	0	White	x (0.037 g)
B3494	B	3494	AK	F	A	0	Blue	x (0.037 g)
R3478	R	3478	AK	F	A	0	Red	x (0.041 g)
W3478	W	3478	AK	F	A	0	White	x (0.030 g)
B3478	B	3478	AK	F	A	0	Blue	x (0.031 g)
R3468	R	3468	AK	F	A	0	Red	x (0.035 g)
W3468	W	3468	AK	F	A	0	White	x (0.030 g)
B3468	B	3468	AK	F	A	0	Blue	x (0.024 g)
R3433	R	3433	AK	F	A	0	Red	x (0.03 g)
W3433	W	3433	AK	F	A	0	White	x (0.047 g)
B3433	B	3433	AK	F	A	0	Blue	x (0.030 g)
R3507	R	3507	AK	M	A	1	Red	x (0.034g)
W3507	W	3507	AK	M	A	1	White	x (0.030g)
B3507	B	3507	AK	M	A	1	Blue	x (0.044g)
R3488	R	3488	AK	M	A	1	Red	x (0.040g)
W3488	W	3488	AK	M	A	1	White	x (0.019g)
B3488	B	3488	AK	M	A	1	Blue	x (0.029g)
R3476	R	3476	AK	M	A	1	Red	x (0.050g)
W3476	W	3476	AK	M	A	1	White	x (0.038g)
B3476	B	3476	AK	M	A	1	Blue	x (0.032g)
R3450	R	3450	AK	M	A	1	Red	x (0.019g)
W3450	W	3450	AK	M	A	1	White	x (0.037g)
B3450	B	3450	AK	M	A	1	Blue	x (0.029g)
R3482	R	3482	AK	F	A	1	Red	x (0.084g)
W3482	W	3482	AK	F	A	1	White	x (0.026g)
B3482	B	3482	AK	F	A	1	Blue	x (0.022g)
R3449	R	3449	AK	F	A	1	Red	x (0.029g)
W3449	W	3449	AK	F	A	1	White	x (0.027g)
B3449	B	3449	AK	F	A	1	Blue	x (0.032g)
R3438	R	3438	AK	M	J	1	Red	x (0.017g)
W3438	W	3438	AK	M	J	1	White	x (0.020g)
B3438	B	3438	AK	M	J	1	Blue	x (0.023g)
R3439	R	3439	AK	M	J	1	Red	x (0.032g)
W3439	W	3439	AK	M	J	1	White	x (0.013g)
B3439	B	3439	AK	M	J	1	Blue	x (0.020g)*
R3480	R	3480	AK	M	J	1	Red	x (0.054 g)
W3480	W	3480	AK	M	J	1	White	x (0.039 g)
B3480	B	3480	AK	M	J	1	Blue	x (0.047 g)
R3509	R	3509	AK	M	J	1	Red	x (0.044g)
W3509	W	3509	AK	M	J	1	White	x (0.038g)
B3509	B	3509	AK	M	J	1	Blue	x (0.036g)
R3487	R	3487	AK	F	J	1	Red	x (0.021g)
W3487	W	3487	AK	F	J	1	White	x (0.051g)
B3487	B	3487	AK	F	J	1	Blue	x (0.027g)
R3475	R	3475	AK	F	J	1	Red	x (0.046g)
W3475	W	3475	AK	F	J	1	White	x (0.025g)
B3475	B	3475	AK	F	J	1	Blue	x (0.029g)
R3512	R	3512	AK	F	J	1	Red	x (0.038g)
W3512	W	3512	AK	F	J	1	White	x (0.040g)
B3512	B	3512	AK	F	J	1	Blue	x (0.038g)
R3474	R	3474	AK	F	J	1	Red	x (0.020g)
W3474	W	3474	AK	F	J	1	White	x (0.031g)
B3474	B	3474	AK	F	J	1	Blue	x (0.032g)
R3443	R	3443	AK	F	J	1	Red	x (0.046g)
W3443	W	3443	AK	F	J	1	White	x (0.013g)
B3443	B	3443	AK	F	J	1	Blue	x (0.014g)
R2996	R	2996	AK	F	J	1	Red	x (0.065g)
W2996	W	2996	AK	F	J	1	White	x (0.029g)
B2996	B	2996	AK	F	J	1	Blue	x (0.034g)
