#SampleID	ForwardFastqFile	ReverseFastqFile	TreatmentGroup	Location	Sex	Age	Color	Combined	Description
B2996	B2996_S15_L001_R1_001.fastq.gz	B2996_S15_L001_R2_001.fastq.gz	1	AK	F	J	Blue	B	2996
B3433	B3433_S54_L001_R1_001.fastq.gz	B3433_S54_L001_R2_001.fastq.gz	0	AK	F	A	Blue	B	3433
B3438	B3438_S57_L001_R1_001.fastq.gz	B3438_S57_L001_R2_001.fastq.gz	1	AK	M	J	Blue	B	3438
B3439	B3439_S27_L001_R1_001.fastq.gz	B3439_S27_L001_R2_001.fastq.gz	1	AK	M	J	Blue	B	3439
B3443	B3443_S1_L001_R1_001.fastq.gz	B3443_S1_L001_R2_001.fastq.gz	1	AK	F	J	Blue	B	3443
B3445	B3445_S29_L001_R1_001.fastq.gz	B3445_S29_L001_R2_001.fastq.gz	0	AK	F	J	Blue	B	3445
B3449	B3449_S9_L001_R1_001.fastq.gz	B3449_S9_L001_R2_001.fastq.gz	1	AK	F	A	Blue	B	3449
B3450	B3450_S10_L001_R1_001.fastq.gz	B3450_S10_L001_R2_001.fastq.gz	1	AK	M	A	Blue	B	3450
B3468	B3468_S16_L001_R1_001.fastq.gz	B3468_S16_L001_R2_001.fastq.gz	0	AK	F	A	Blue	B	3468
B3469	B3469_S20_L001_R1_001.fastq.gz	B3469_S20_L001_R2_001.fastq.gz	0	AK	M	A	Blue	B	3469
B3470	B3470_S26_L001_R1_001.fastq.gz	B3470_S26_L001_R2_001.fastq.gz	0	AK	F	J	Blue	B	3470
B3471	B3471_S38_L001_R1_001.fastq.gz	B3471_S38_L001_R2_001.fastq.gz	0	AK	M	A	Blue	B	3471
B3472	B3472_S7_L001_R1_001.fastq.gz	B3472_S7_L001_R2_001.fastq.gz	0	AK	F	J	Blue	B	3472
B3474	B3474_S19_L001_R1_001.fastq.gz	B3474_S19_L001_R2_001.fastq.gz	1	AK	F	J	Blue	B	3474
B3475	B3475_S12_L001_R1_001.fastq.gz	B3475_S12_L001_R2_001.fastq.gz	1	AK	F	J	Blue	B	3475
B3476	B3476_S61_L001_R1_001.fastq.gz	B3476_S61_L001_R2_001.fastq.gz	1	AK	M	A	Blue	B	3476
B3478	B3478_S81_L001_R1_001.fastq.gz	B3478_S81_L001_R2_001.fastq.gz	0	AK	F	A	Blue	B	3478
B3480	B3480_S42_L001_R1_001.fastq.gz	B3480_S42_L001_R2_001.fastq.gz	1	AK	M	J	Blue	B	3480
B3481	B3481_S62_L001_R1_001.fastq.gz	B3481_S62_L001_R2_001.fastq.gz	0	AK	M	A	Blue	B	3481
B3482	B3482_S13_L001_R1_001.fastq.gz	B3482_S13_L001_R2_001.fastq.gz	1	AK	F	A	Blue	B	3482
B3484	B3484_S35_L001_R1_001.fastq.gz	B3484_S35_L001_R2_001.fastq.gz	0	AK	F	J	Blue	B	3484
B3486	B3486_S49_L001_R1_001.fastq.gz	B3486_S49_L001_R2_001.fastq.gz	0	AK	M	J	Blue	B	3486
B3487	B3487_S36_L001_R1_001.fastq.gz	B3487_S36_L001_R2_001.fastq.gz	1	AK	F	J	Blue	B	3487
B3488	B3488_S77_L001_R1_001.fastq.gz	B3488_S77_L001_R2_001.fastq.gz	1	AK	M	A	Blue	B	3488
B3489	B3489_S21_L001_R1_001.fastq.gz	B3489_S21_L001_R2_001.fastq.gz	0	AK	M	A	Blue	B	3489
B3492	B3492_S67_L001_R1_001.fastq.gz	B3492_S67_L001_R2_001.fastq.gz	0	AK	M	J	Blue	B	3492
B3494	B3494_S34_L001_R1_001.fastq.gz	B3494_S34_L001_R2_001.fastq.gz	0	AK	F	A	Blue	B	3494
B3506	B3506_S40_L001_R1_001.fastq.gz	B3506_S40_L001_R2_001.fastq.gz	0	AK	M	J	Blue	B	3506
B3507	B3507_S59_L001_R1_001.fastq.gz	B3507_S59_L001_R2_001.fastq.gz	1	AK	M	A	Blue	B	3507
B3508	B3508_S80_L001_R1_001.fastq.gz	B3508_S80_L001_R2_001.fastq.gz	0	AK	M	J	Blue	B	3508
B3509	B3509_S51_L001_R1_001.fastq.gz	B3509_S51_L001_R2_001.fastq.gz	1	AK	M	J	Blue	B	3509
B3512	B3512_S75_L001_R1_001.fastq.gz	B3512_S75_L001_R2_001.fastq.gz	1	AK	F	J	Blue	B	3512
Blank	Blank_S96_L001_R1_001.fastq.gz	Blank_S96_L001_R2_001.fastq.gz	2	NC	N	N	N	N	Blank
Mock	Mock_S84_L001_R1_001.fastq.gz	Mock_S84_L001_R2_001.fastq.gz	2	NC	N	N	N	N	Mock
R3433	R3433_S25_L001_R1_001.fastq.gz	R3433_S25_L001_R2_001.fastq.gz	0	AK	F	A	Red	R	3433
R3438	R3438_S33_L001_R1_001.fastq.gz	R3438_S33_L001_R2_001.fastq.gz	1	AK	M	J	Red	R	3438
R3439	R3439_S44_L001_R1_001.fastq.gz	R3439_S44_L001_R2_001.fastq.gz	1	AK	M	J	Red	R	3439
R3443	R3443_S2_L001_R1_001.fastq.gz	R3443_S2_L001_R2_001.fastq.gz	1	AK	F	J	Red	R	3443
R3445	R3445_S91_L001_R1_001.fastq.gz	R3445_S91_L001_R2_001.fastq.gz	0	AK	F	J	Red	R	3445
R3449	R3449_S85_L001_R1_001.fastq.gz	R3449_S85_L001_R2_001.fastq.gz	1	AK	F	A	Red	R	3449
R3450	R3450_S66_L001_R1_001.fastq.gz	R3450_S66_L001_R2_001.fastq.gz	1	AK	M	A	Red	R	3450
R3468	R3468_S50_L001_R1_001.fastq.gz	R3468_S50_L001_R2_001.fastq.gz	0	AK	F	A	Red	R	3468
R3469	R3469_S65_L001_R1_001.fastq.gz	R3469_S65_L001_R2_001.fastq.gz	0	AK	M	A	Red	R	3469
R3470	R3470_S37_L001_R1_001.fastq.gz	R3470_S37_L001_R2_001.fastq.gz	0	AK	F	J	Red	R	3470
R3471	R3471_S68_L001_R1_001.fastq.gz	R3471_S68_L001_R2_001.fastq.gz	0	AK	M	A	Red	R	3471
R3472	R3472_S45_L001_R1_001.fastq.gz	R3472_S45_L001_R2_001.fastq.gz	0	AK	F	J	Red	R	3472
R3474	R3474_S55_L001_R1_001.fastq.gz	R3474_S55_L001_R2_001.fastq.gz	1	AK	F	J	Red	R	3474
R3475	R3475_S14_L001_R1_001.fastq.gz	R3475_S14_L001_R2_001.fastq.gz	1	AK	F	J	Red	R	3475
R3476	R3476_S56_L001_R1_001.fastq.gz	R3476_S56_L001_R2_001.fastq.gz	1	AK	M	A	Red	R	3476
R3478	R3478_S24_L001_R1_001.fastq.gz	R3478_S24_L001_R2_001.fastq.gz	0	AK	F	A	Red	R	3478
R3480	R3480_S94_L001_R1_001.fastq.gz	R3480_S94_L001_R2_001.fastq.gz	1	AK	M	J	Red	R	3480
R3481	R3481_S30_L001_R1_001.fastq.gz	R3481_S30_L001_R2_001.fastq.gz	0	AK	M	A	Red	R	3481
